rank,field,label,phase3_score,recommendation,coverage_pct,n_buildings_with_label,n_atomic_labels,n_strong_labels_300_plus,n_usable_labels_100_299,n_grouping_labels_30_99,n_sparse_labels_under_30,avg_labels_per_labeled_building,max_labels_per_building,top_label_share_pct,max_association_field,max_association_label,max_association_cramers_v,notes
1,wall_features,Wall Features,96.46,phase3_core,68.11,11762,49,18,6,6,19,2.43,10,34.07,architectural_style,Shingles in Gable - Decorative,0.719,"Strong facade-detail candidate; likely complementary to cladding, style, and form."
2,landscape_features,Landscape Features,84.75,phase3_core,98.1,16941,60,20,5,1,34,3.56,10,72.46,building_form,Driveway - Solid,0.539,"Context task; useful for setting, category, and broader site interpretation."
3,window,Window,74.75,phase3_core,71.72,12385,56,31,8,7,10,6.37,30,71.36,building_form,Window Features: Stone Sill,0.627,Promising but visually smaller/noisier than entrance; needs grouping.
4,roof_materials,Roof Materials,74.75,phase3_imbalance_expansion,95.48,16488,14,3,2,3,6,1.03,3,64.94,roof_type,Unknown Roof Material,0.838,Often dominated by asphalt/unknown and hard to verify from street-level photos.
5,entrance,Entrance,73.75,phase3_visual_expansion,74.42,12852,142,20,8,13,101,4.59,20,88.31,primary_cladding,Entrance Location: Front Facade,0.551,Promising if grouped around broad entrance type and location.
6,building_category,Building Category,71.94,phase3_imbalance_expansion,72.47,12514,4,2,0,1,1,1.0,1,91.98,building_form,Commercial,0.854,Broad auxiliary classifier; useful if enough non-residential examples exist.
7,current_use,Current Use,67.75,phase3_imbalance_expansion,100.0,17269,42,3,5,2,32,1.0,1,80.08,building_form,Domestic – Single Dwelling,0.838,Broad use categories may be visual; fine-grained use is context-heavy.
8,associated_buildings,Associated Buildings and Objects,65.75,phase3_visual_expansion,42.02,7256,24,6,5,4,9,1.89,7,65.13,building_form,Building/Object Type: Garage,0.371,Context/object task; depends strongly on image angle and full-view coverage.
9,roof_features,Roof Features,65.73,phase4_later,13.05,2254,71,1,12,19,39,1.77,9,22.67,primary_cladding,Rafter Tails,0.454,"Conceptually useful, but many atomics are expected to be sparse."
10,additional_cladding,Additional Cladding,62.09,phase4_later,17.81,3075,59,5,4,12,38,1.53,7,35.48,building_form,Foundation - Concrete,0.474,Secondary material task; likely sparse and better deferred unless counts surprise.
11,original_use,Original Use,57.75,phase3_imbalance_expansion,100.0,17269,37,3,3,6,25,1.0,1,82.29,building_form,Domestic – Single Dwelling,0.885,Historical field; weak image-only target despite high label coverage.
12,building_plan,Building Plan,31.49,phase4_later,4.34,750,8,1,1,1,5,1.0,1,61.47,roof_type,Irregular Plan,0.357,Usually needs aerial or multi-view information; front facade is often insufficient.
