rank,field,label,phase3_score,recommendation,coverage_pct,n_buildings_with_label,n_atomic_labels,n_strong_labels_300_plus,n_usable_labels_100_299,n_grouping_labels_30_99,n_sparse_labels_under_30,avg_labels_per_labeled_building,max_labels_per_building,top_label_share_pct,max_association_field,max_association_label,max_association_cramers_v,notes
1,wall_features,Wall Features,97.0,phase3_core,94.65,6753,32,16,5,1,10,2.77,10,39.4,architectural_style,Shingles in Gable - Decorative,0.766,"Strong facade-detail candidate; likely complementary to cladding, style, and form."
2,landscape_features,Landscape Features,79.75,phase3_core,98.72,7044,23,11,6,2,4,3.68,10,83.23,building_form,Driveway - Solid,0.416,"Context task; useful for setting, category, and broader site interpretation."
3,window,Window,74.75,phase3_core,99.13,7073,56,25,9,9,13,6.86,25,72.29,building_form,Window Features: Stone Sill,0.665,Promising but visually smaller/noisier than entrance; needs grouping.
4,entrance,Entrance,73.75,phase3_visual_expansion,99.82,7122,61,15,7,9,30,4.63,19,89.58,building_form,Entrance Type: Projecting,0.548,Promising if grouped around broad entrance type and location.
5,associated_buildings,Associated Buildings and Objects,72.55,phase3_visual_expansion,65.79,4694,23,4,5,3,11,1.9,5,69.07,chimney_present,Building/Object Location: Behind Primary Building,0.631,Context/object task; depends strongly on image angle and full-view coverage.
6,building_category,Building Category,71.94,phase3_imbalance_expansion,100.0,7135,4,2,0,1,1,1.0,1,94.74,building_form,Commercial,0.95,Broad auxiliary classifier; useful if enough non-residential examples exist.
7,current_use,Current Use,64.31,phase3_imbalance_expansion,100.0,7135,28,2,0,7,19,1.0,1,81.81,building_form,Domestic – Single Dwelling,0.818,Broad use categories may be visual; fine-grained use is context-heavy.
8,roof_materials,Roof Materials,57.56,phase3_imbalance_expansion,99.97,7133,10,2,0,3,5,1.01,2,88.43,roof_type,Unknown Roof Material,0.955,Often dominated by asphalt/unknown and hard to verify from street-level photos.
9,original_use,Original Use,53.9,phase3_imbalance_expansion,100.0,7135,28,2,1,4,21,1.0,1,84.16,building_form,Domestic – Single Dwelling,0.873,Historical field; weak image-only target despite high label coverage.
10,roof_features,Roof Features,40.34,phase4_later,4.68,334,32,0,0,8,24,2.06,7,28.14,chimney_present,Eaves - Boxed,0.476,"Conceptually useful, but many atomics are expected to be sparse."
11,building_plan,Building Plan,32.72,phase4_later,5.13,366,8,0,1,1,6,1.0,1,60.93,chimney_present,Rectangular Plan,0.554,Usually needs aerial or multi-view information; front facade is often insufficient.
12,additional_cladding,Additional Cladding,24.67,phase4_later,2.35,168,25,0,0,0,25,1.06,2,16.67,,,0.0,Secondary material task; likely sparse and better deferred unless counts surprise.
